DC-RTR-WAN2-L3#show ip bgp neighbors 80.80.80.13 received-routes
BGP table version is 20850868, local router ID is 10.0.124.52
Status codes: s suppressed, d damped, h history, * valid, > best, i - internal, 
              r RIB-failure, S Stale, m multipath, b backup-path, f RT-Filter, 
              x best-external, a additional-path, c RIB-compressed, 
              t secondary path, L long-lived-stale,
Origin codes: i - IGP, e - EGP, ? - incomplete
RPKI validation codes: V valid, I invalid, N Not found

     Network          Next Hop            Metric LocPrf Weight Path
 *>   1.2.0.32/30      80.80.80.13                            0 65535 65533 65533 ?
 *    1.2.3.216/31     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.2.5.156/30     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.2.25.52/30     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.2.46.84/30     80.80.80.13                            0 65535 ?
 *>   1.2.55.232/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.10.4.48/30     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.10.6.180/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.10.18.40/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.10.203.0/24    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.10.203.254/32  80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.11.6.136/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.11.7.144/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.11.9.72/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.11.12.120/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.11.18.136/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.0.112/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.0.116/30    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.1.208/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.4.0/29      80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.4.48/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.4.72/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.12.4.120/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.6.72/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.6.152/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.6.160/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.7.24/29     80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.10.16/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.12.232/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.13.176/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.13.192/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.13.200/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.13.216/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.13.232/29   80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.14.24/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.13.15.48/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.32.0.152/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.32.2.1/32      80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.128/29    80.80.80.13                            0 65535 65533 65533 ?
 *>   1.32.2.146/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.147/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.148/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.150/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.168/30    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.173/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.174/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.175/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.176/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.177/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.180/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.181/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.182/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.183/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.186/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.187/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.189/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.190/32    80.80.80.13                            0 65535 65533 65533 65535 ?
     Network          Next Hop            Metric LocPrf Weight Path
 *>   1.32.2.193/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.194/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.195/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.197/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.200/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.201/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.203/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.204/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.209/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.211/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.212/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.213/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.215/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.216/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.217/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.218/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.219/32    80.80.80.13                            0 65535 65533 65533 65535 ?
 *>   1.32.2.220/32    80.80.80.13                            0 65535 65533 65533 65535 ?
